"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0.1,0.16,0.06,0.15,0.04,0.11,0.04,0.13
"2",0.23,0.32,0.16,0.23,0.1,0.36,0.06,0.22
"3",0.53,0.45,0.49,0.42,0.09,0.45,0.07,0.4
"4",0.69,0.61,0.57,0.57,0.18,0.69,0.02,0.64
"5",0.83,0.76,0.61,0.72,0.3,0.67,0.02,0.8
"6",0.9,0.76,0.83,0.83,0.38,0.86,0.08,0.87
"7",0.93,0.95,0.88,0.96,0.39,0.97,0.05,0.94
"8",0.98,0.97,0.95,0.96,0.54,1,0.06,0.96
"9",0.99,0.99,0.99,0.97,0.65,0.99,0.07,0.99
"10",1,1,0.99,1,0.77,1,0.04,1
"11",1,1,1,1,0.84,1,0.06,1
"12",1,1,1,1,0.9,1,0.08,1
"13",1,1,1,1,0.97,1,0.05,1
"14",1,1,1,1,0.94,1,0.14,1
"15",1,1,1,1,0.99,1,0.09,1
"16",1,1,1,1,1,1,0.13,1
"17",1,1,1,1,1,1,0.09,1
"18",1,1,1,1,1,1,0.17,1
"19",1,1,1,1,1,1,0.2,1
"20",1,1,1,1,1,1,0.15,1
"21",1,1,1,1,1,1,0.2,1
"22",1,1,1,1,1,1,0.24,1
"23",1,1,1,1,1,1,0.3,1
"24",1,1,1,1,1,1,0.28,1
"25",1,1,1,1,1,1,0.38,1
"26",1,1,1,1,1,1,0.42,1
"27",1,1,1,1,1,1,0.36,1
"28",1,1,1,1,1,1,0.46,1
"29",1,1,1,1,1,1,0.47,1
"30",1,1,1,1,1,1,0.76,1
